id	title	description	link	image_link	availability	price	product_type
4040330093	Заглушка Квадратная 50х50	Заглушка квадратная 50х50	https://krepmarket.in.ua/p657033302-zaglushka-kvadratnaya-50h50.html?sodship=y	https://images.ua.prom.st/680568405_w200_h200_zaglushka-kvadratnaya-50h50.jpg	in stock	7 UAH	Заглушка Пластиковая Для Труб
3544949091	Заглушка Квадратная 60х40	Заглушка квадратная 60х40	https://krepmarket.in.ua/p477867781-zaglushka-kvadratnaya-60h40.html?sodship=y	https://images.ua.prom.st/680568406_w200_h200_zaglushka-kvadratnaya-60h40.jpg	in stock	7 UAH	Заглушка Пластиковая Для Труб
3886680658	Заглушка Квадратная 60х60	Заглушка квадратная 60х60	https://krepmarket.in.ua/p477867780-zaglushka-kvadratnaya-60h60.html?sodship=y	https://images.ua.prom.st/680568405_w200_h200_zaglushka-kvadratnaya-60h60.jpg	in stock	8 UAH	Заглушка Пластиковая Для Труб
3044680842	Заглушка Для Отверствий Черная ⌀14	Заглушка для отверствий черная ⌀14	https://krepmarket.in.ua/p491332359-zaglushka-dlya-otverstvij.html?sodship=y	https://images.ua.prom.st/695613035_w200_h200_zaglushka-dlya-otverstvij.jpg	in stock	0.80 UAH	Заглушка Пластиковая Для Труб
364057236	Заглушка Для Отверствий Белая ⌀14	Заглушка для отверствий белая ⌀14	https://krepmarket.in.ua/p491332414-zaglushka-dlya-otverstvij.html?sodship=y	https://images.ua.prom.st/695614246_w200_h200_zaglushka-dlya-otverstvij.jpg	in stock	0.80 UAH	Заглушка Пластиковая Для Труб
1600566950	Заглушка Круглая ⌀16	Заглушка круглая	https://krepmarket.in.ua/p657090628-zaglushka-kruglaya.html?sodship=y	https://images.ua.prom.st/1068065441_w200_h200_zaglushka-kruglaya-16.jpg	in stock	1.50 UAH	Заглушка Пластиковая Для Труб
57764195	Заглушка Круглая ⌀20	Заглушка круглая	https://krepmarket.in.ua/p657090658-zaglushka-kruglaya.html?sodship=y	https://images.ua.prom.st/1068065441_w200_h200_zaglushka-kruglaya-20.jpg	in stock	1.50 UAH	Заглушка Пластиковая Для Труб
3336407117	Заглушка Круглая ⌀25	Заглушка круглая	https://krepmarket.in.ua/p657090842-zaglushka-kruglaya.html?sodship=y	https://images.ua.prom.st/1068065441_w200_h200_zaglushka-kruglaya-25.jpg	in stock	2 UAH	Заглушка Пластиковая Для Труб
2888335406	Заглушка Для Детской Площадки Двухсоставная  Желтая	Заглушка для детской площадки двухсоставная	https://krepmarket.in.ua/p682791912-zaglushka-dlya-detskoj.html?sodship=y	https://images.ua.prom.st/1117219095_w200_h200_zaglushka-dlya-detskoj.jpg	in stock	2.50 UAH	Заглушка Пластиковая Для Труб
967572352	Шпилька Метрическая М6	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998090-shpilka-metricheskaya.html?sodship=y	https://images.ua.prom.st/436469565_w200_h200_shpilka-metricheskaya-m6.jpg	in stock	10 UAH	Шпилька Метрическая
1347043933	Шпилька Метрическая М10	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998092-shpilka-metricheskaya-m10.html?sodship=y	https://images.ua.prom.st/436469615_w200_h200_shpilka-metricheskaya-m10.jpg	in stock	22 UAH	Шпилька Метрическая
2355631335	Шпилька Метрическая М12	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998093-shpilka-metricheskaya-m12.html?sodship=y	https://images.ua.prom.st/436469616_w200_h200_shpilka-metricheskaya-m12.jpg	in stock	30 UAH	Шпилька Метрическая
1888867550	Шпилька Метрическая М3	Шпилька с метрической резьбой  ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998087-shpilka-metricheskaya.html?sodship=y	https://images.ua.prom.st/436469567_w200_h200_shpilka-metricheskaya-m3.jpg	in stock	10 UAH	Шпилька Метрическая
2618391803	Шпилька Метрическая М4	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998088-shpilka-metricheskaya.html?sodship=y	https://images.ua.prom.st/436469563_w200_h200_shpilka-metricheskaya-m4.jpg	in stock	10 UAH	Шпилька Метрическая
2156890992	Шпилька Метрическая М5	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998089-shpilka-metricheskaya.html?sodship=y	https://images.ua.prom.st/436469564_w200_h200_shpilka-metricheskaya-m5.jpg	in stock	10 UAH	Шпилька Метрическая
2231545512	Шпилька Метрическая М14	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998094-shpilka-metricheskaya-m14.html?sodship=y	https://images.ua.prom.st/436469617_w200_h200_shpilka-metricheskaya-m14.jpg	in stock	48 UAH	Шпилька Метрическая
2996732643	Шпилька Метрическая М16	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998095-shpilka-metricheskaya-m16.html?sodship=y	https://images.ua.prom.st/436469618_w200_h200_shpilka-metricheskaya-m16.jpg	in stock	62 UAH	Шпилька Метрическая
3853069355	Шпилька Метрическая М18	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998096-shpilka-metricheskaya-m18.html?sodship=y	https://images.ua.prom.st/436469701_w200_h200_shpilka-metricheskaya-m18.jpg	in stock	82 UAH	Шпилька Метрическая
2680952812	Шпилька Метрическая М20	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998097-shpilka-metricheskaya-m20.html?sodship=y	https://images.ua.prom.st/436469702_w200_h200_shpilka-metricheskaya-m20.jpg	in stock	104 UAH	Шпилька Метрическая
24745025	Шпилька Метрическая М22	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998098-shpilka-metricheskaya-m22.html?sodship=y	https://images.ua.prom.st/436469703_w200_h200_shpilka-metricheskaya-m22.jpg	in stock	180.14 UAH	Шпилька Метрическая
3805089769	Шпилька Метрическая М24	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998099-shpilka-metricheskaya-m24.html?sodship=y	https://images.ua.prom.st/436469704_w200_h200_shpilka-metricheskaya-m24.jpg	in stock	225.18 UAH	Шпилька Метрическая
2770534642	Шпилька Метрическая М30	Шпилька с метрической резьбой ― представляет собой стальной стержень, с нанесенной на него по всей длине метрической резьбой. Данный крепеж используется для соединения металлических и  деревянных объектов, конструкций которые находятся на расстоянии друг от друга. Для наращивания метрического соединения шпильку используют совместно с муфтой, соединительной гайкой.	https://krepmarket.in.ua/p303998100-shpilka-metricheskaya-m30.html?sodship=y	https://images.ua.prom.st/436469705_w200_h200_shpilka-metricheskaya-m30.jpg	in stock	375.30 UAH	Шпилька Метрическая
1488219899	Стеклорез с 6-ю Роликами Intertool Ht-0521	Стеклорез intertool ht-0521 c роликом, изготовленным из высококачественного сверхтвердого сплава вольфрама и кобальта – незаменимый инструмент для резки стекла. Используется для порезки стекла толщиной 1-5 мм. Заточки режущей части достаточно более чем на 350 м.	https://krepmarket.in.ua/p627839932-steklorez-rolikami-intertool.html?sodship=y	https://images.ua.prom.st/1003956521_w200_h200_steklorez-s-6-yu.jpg	in stock	25 UAH	Агроволокно > Стеклорезы
2843293908	Стеклорез Масляный Intertool Ht-0522	Масляный стеклорез intertool ht-0522 – новый эффективный инструмент для резки стекла. Являет собой роликовый стеклорез со встроенным в ручку резервуаром для автоматической подачи смазки к режущему ролику через фитиль. Смазка обеспечивает плавное движение стеклореза, позволяя снизить трение ролика и увеличить срок службы инструмента. Предназначен для работы со стеклом толщиной до 20 мм, каждого резца хватает более чем на 5000 п.М. Пригодны для профессионального использования.	https://krepmarket.in.ua/p627839933-steklorez-maslyanyj-intertool.html?sodship=y	https://images.ua.prom.st/1003956525_w200_h200_steklorez-maslyanyj-intertool.jpg	in stock	35 UAH	Агроволокно > Стеклорезы
2828493117	Плиткорез Механический Intertool Ht-0342	Ручной плиткорез тм intertool применяют для резки и раскалывания всех видов плитки. Устройство имеет 2 направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг. Все детали выполнены из металлов не подверженных коррозии и имеющих высокую стойкость к износу. Удобная ручка. Максимальная возможная длина плитки, с которой можно работать — 300 мм.  Отличие ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839872-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003954993_w200_h200_plitkorez-mehanicheskij-intertool.jpg	in stock	219 UAH	Агроволокно > Плиткорезы
2950305171	Плиткорез Механический 3 в 1 Intertool Ht-0343	Ручной плиткорез 3 в 1 ht-0343 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен направляющейся рамкой, позволяющей точно задавать угол режущего элемента, вплоть до 45 градусов. Кроме того, в этот плиткорез интегрировано устройство для сверления. С помощью него можно производить отверстия 30–80 мм. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839873-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003954994_w200_h200_plitkorez-mehanicheskij-3.jpg	in stock	599 UAH	Агроволокно > Плиткорезы
1407213914	Плиткорез Механический Intertool Ht-0344	Ручной плиткорез intertool применяют для резки и раскалывания всех видов плитки. Устройство имеет 2 направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг. Все детали выполнены из металлов не подверженных коррозии и имеющих высокую стойкость к износу. Удобная ручка. Максимальная возможная длина плитки, с которой можно работать — 400 мм. Главным отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839874-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003954995_w200_h200_plitkorez-mehanicheskij-intertool.jpg	in stock	249 UAH	Агроволокно > Плиткорезы
572425753	Плиткорез Механический 3 в 1 Intertool Ht-0345	Ручной плиткорез 3 в 1 ht-0345 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен поворотной направляющейся рамкой, что дает возможность точно задавать угол режущего элемента, вплоть до 45 градусов. Кроме того, в этот плиткорез интегрировано устройство для сверления. С помощью него можно производить отверстия 30–80 мм. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839875-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003954996_w200_h200_plitkorez-mehanicheskij-3.jpg	in stock	679 UAH	Агроволокно > Плиткорезы
1650589971	Плиткорез Механический Intertool Ht-0346	Ручной плиткорез тм intertool применяют для резки и раскалывания всех видов плитки. Устройство имеет 2 направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг. Все детали выполнены из металлов не подверженных коррозии и имеющих высокую стойкость к износу. Удобная ручка. Максимальная возможная длина плитки, с которой можно работать — 600 мм. Главным отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839876-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003954997_w200_h200_plitkorez-mehanicheskij-intertool.jpg	in stock	519 UAH	Агроволокно > Плиткорезы
201950777	Плиткорез Механический 3 в 1 Intertool Ht-0347	Ручной плиткорез 3 в 1 ht-0347 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен поворотной направляющейся рамкой, что дает возможность точно задавать угол режущего элемента, вплоть до 45 градусов. Кроме того, в этот плиткорез интегрировано устройство для сверления. С помощью него можно производить отверстия 30–80 мм. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839877-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003955067_w200_h200_plitkorez-mehanicheskij-3.jpg	in stock	699 UAH	Агроволокно > Плиткорезы
2458126607	Плиткорез Механический Intertool Ht-0349	Ручной плиткорез тм intertool применяют для резки и раскалывания всех видов плитки. Устройство имеет 2 направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг. Все детали выполнены из металлов не подверженных коррозии и имеющих высокую стойкость к износу. Удобная ручка. Максимальная возможная длина плитки, с которой можно работать — 500 мм.  Отличие ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.	https://krepmarket.in.ua/p627839879-plitkorez-mehanicheskij-intertool.html?sodship=y	https://images.ua.prom.st/1003955069_w200_h200_plitkorez-mehanicheskij-intertool.jpg	in stock	489 UAH	Агроволокно > Плиткорезы
133539057	Плиткорез Механический Усиленный с Регулировкой Режущего Элемента Intertool Ht-0361	Ручной плиткорез усиленный ht-0361 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен поворотной направляющейся рамкой, что дает возможность точно задавать угол режущего элемента, вплоть до 45 градусов. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.  Кроме того, данный инструмент может производить разрез плитки длиной равной его собственной — 400 мм.	https://krepmarket.in.ua/p627839888-plitkorez-mehanicheskij-usilennyj.html?sodship=y	https://images.ua.prom.st/1003955225_w200_h200_plitkorez-mehanicheskij-usilennyj.jpg	in stock	869 UAH	Агроволокно > Плиткорезы
3978042604	Плиткорез Механический Усиленный с Регулировкой Режущего Элемента Intertool Ht-0362	Ручной плиткорез усиленный ht-0362 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен поворотной направляющейся рамкой, что дает возможность точно задавать угол режущего элемента, вплоть до 45 градусов. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.  Кроме того, данный инструмент может производить разрез плитки длиной равной его собственной — 500 мм.	https://krepmarket.in.ua/p627839889-plitkorez-mehanicheskij-usilennyj.html?sodship=y	https://images.ua.prom.st/1003955226_w200_h200_plitkorez-mehanicheskij-usilennyj.jpg	in stock	939 UAH	Агроволокно > Плиткорезы
1291293002	Плиткорез Механический Усиленный с Регулировкой Режущего Элемента Intertool Ht-0363	Ручной плиткорез усиленный ht-0363 применяется для резки керамики и кафельной плитки во время строительных и ремонтных работ. Устройство, главным образом, состоит из рамы и двух направляющих цилиндрической формы, по которым движется режущий модуль, зажимающий рычаг.  Каждая деталь изготовлена из металла с антикоррозийной обработкой. Плиткорез оснащен поворотной направляющейся рамкой, что дает возможность точно задавать угол режущего элемента, вплоть до 45 градусов. Основным достоинством и отличием ручного плиткореза от электрического, помимо более компактных габаритов и веса является автономность работы, независимо от источников питания.  Кроме того, данный инструмент может производить разрез плитки длиной равной его собственной — 600 мм.	https://krepmarket.in.ua/p627839890-plitkorez-mehanicheskij-usilennyj.html?sodship=y	https://images.ua.prom.st/1003955227_w200_h200_plitkorez-mehanicheskij-usilennyj.jpg	in stock	989 UAH	Агроволокно > Плиткорезы
2755035109	Плиткорез Механический На Подшипниках Intertool Ht-0364	Плиткорез для плитки ht-0364 стального цвета с красной рукояткой. Длина плиткореза (400мм) исключает возможность использования плитки размером больше. В целом, дизайн и технические возможности плиткорезов одинаковы. Плиткорезы имеют две направляющие, по которым передвигается рукоятка. За счет использования подшипника перемещение рукоятки происходит легче и точнее. Рукоятка выполнена в виде серпа, удобна для создания оптимального давления на плитку. Дизайн рукоятки, создан оптимально для создания давления на плитку, что бы предотвратить ее раскол. Наличие и использование разлинеенной шкалы позволяет выполнять порезку плитки с точностью до миллиметра.	https://krepmarket.in.ua/p627839891-plitkorez-mehanicheskij-podshipnikah.html?sodship=y	https://images.ua.prom.st/1003955228_w200_h200_plitkorez-mehanicheskij-na.jpg	in stock	889 UAH	Агроволокно > Плиткорезы
4138175234	Плиткорез Механический На Подшипниках Intertool Ht-0365	Плиткорез для плитки ht-0365 стального цвета с красной рукояткой. Длина плиткореза, а именно 500 мм, ограничивает использование плитки размером больше указанных длин плиткореза. Дизайн и технические возможности плиткорезов одинаковы. Плиткорезы имеют две направляющие, по которым передвигается рукоятка. За счет использования подшипника перемещение рукоятки легче и точнее. Рукоятка выполнена в виде серпа, удобна для создания оптимального давления на плитку. Дизайн рукоятки, создан оптимально для создания давления на плитку, что бы предотвратить ее раскол. Наличие и использование разлинеенной шкалы позволяет выполнять порезку плитки с точностью до миллиметра.	https://krepmarket.in.ua/p627839892-plitkorez-mehanicheskij-podshipnikah.html?sodship=y	https://images.ua.prom.st/1003955299_w200_h200_plitkorez-mehanicheskij-na.jpg	in stock	939 UAH	Агроволокно > Плиткорезы
2055498424	Плиткорез Механический На Подшипниках Intertool Ht-0366	Плиткорез ht-0366 стального цвета с красной рукояткой. Длина плиткореза в 600 мм ограничивает использование плитки размером больше. Плиткорезы имеют две направляющие, по которым передвигается рукоятка. Рукоятка передвигается за счет использования игольчатого подшипника. Рукоятка выполнена в виде серпа, удобна для создания оптимального давления на плитку. Конструкция рукоятки позволяет легко передавать необходимое давление на плитку, что бы предотвратить ее раскол. Наличие и использование разлинеенной шкалы позволяет выполнять порезку плитки с точностью до миллиметров.   К плиткорезу ht-0366 доступны сменные колеса ht-0369 для резки плитки! Доступны плиткорезы с другой длиной ht-0364 (400 мм),ht-0365 (500 мм). Подробнее о плиткорезах читайте здесь...	https://krepmarket.in.ua/p627839893-plitkorez-mehanicheskij-podshipnikah.html?sodship=y	https://images.ua.prom.st/1003955300_w200_h200_plitkorez-mehanicheskij-na.jpg	in stock	999 UAH	Агроволокно > Плиткорезы
3486362890	Плиткорез Механический Ручной Intertool Ht-0370	Плиткорез ручной ht-0370 не приспособлен к резке плитки больших размеров, но оптимален для резки плитки шириной до 200 мм. Максимальная ширина отрезаемого участка составляет 100 мм, т.Е. Плитку шириной в 200 мм можно отрезать вдоль на две равные части. А максимальная толщина плитки не должна превышать 12 мм. Ширину отрезаемого участка вы задаете самостоятельно с помощью красного ползунка с двумя резьбовыми фиксаторами. Ползунок двигается вдоль разлинееной шкалы, где максимальная длина разлинееной шкалы составляет 100 мм. С помощью резьбовых фиксаторов, которые задают ширину отрезаемого участка плитки, можно еще и создавать оптимальное давление на плитку, которую прижимают с двух сторон режущее колесо и резиновый буфер.	https://krepmarket.in.ua/p627839896-plitkorez-mehanicheskij-ruchnoj.html?sodship=y	https://images.ua.prom.st/1003955298_w200_h200_plitkorez-mehanicheskij-ruchnoj.jpg	in stock	149 UAH	Агроволокно > Плиткорезы
